date,検査数,相談件数,陽性数,検査数累計,相談件数累計,陽性数累計
2020-01-26,1,0,0,1,0,0
2020-01-27,1,0,0,2,0,0
2020-01-28,1,0,0,3,0,0
2020-01-29,2,0,0,5,0,0
2020-01-30,1,0,0,6,0,0
2020-01-31,3,114,0,9,114,0
2020-02-01,1,0,0,10,114,0
2020-02-02,0,0,0,10,114,0
2020-02-03,0,136,0,10,250,0
2020-02-04,3,107,0,13,357,0
2020-02-05,1,85,0,14,442,0
2020-02-06,1,75,0,15,517,0
2020-02-07,1,72,0,16,589,0
2020-02-08,0,0,0,16,589,0
2020-02-09,0,0,0,16,589,0
2020-02-10,1,76,0,17,665,0
2020-02-11,0,0,0,17,665,0
2020-02-12,0,55,0,17,720,0
2020-02-13,1,77,0,18,797,0
2020-02-14,5,154,0,23,951,0
2020-02-15,5,0,0,28,951,0
2020-02-16,6,0,0,34,951,0
2020-02-17,14,295,0,48,1246,0
2020-02-18,6,307,0,54,1553,0
2020-02-19,6,256,0,60,1809,0
2020-02-20,13,230,0,73,2039,0
2020-02-21,14,281,0,87,2320,0
2020-02-22,10,0,0,97,2320,0
2020-02-23,5,0,0,102,2320,0
2020-02-24,3,0,0,105,2320,0
2020-02-25,14,505,0,119,2825,0
2020-02-26,16,451,0,135,3276,0
2020-02-27,27,456,0,162,3732,0
2020-02-28,29,396,0,191,4128,0
2020-02-29,27,0,0,218,4128,0
2020-03-01,9,0,0,227,4128,0
2020-03-02,18,585,0,245,4713,0
2020-03-03,19,440,0,264,5153,0
2020-03-04,29,422,0,293,5575,0
2020-03-05,21,369,0,314,5944,0
2020-03-06,31,396,0,345,6340,0
2020-03-07,23,0,0,368,6340,0
2020-03-08,12,0,0,380,6340,0
2020-03-09,13,514,0,393,6854,0
2020-03-10,31,387,0,424,7241,0
2020-03-11,25,303,0,449,7544,0
2020-03-12,22,319,0,471,7863,0
2020-03-13,28,325,0,499,8188,0
2020-03-14,16,0,0,515,8188,0
2020-03-15,5,0,0,520,8188,0
2020-03-16,12,442,0,532,8630,0
2020-03-17,18,593,1,550,9223,1
2020-03-18,24,809,2,574,10032,3
2020-03-19,32,1058,0,606,11090,3
2020-03-20,26,204,0,632,11294,3
2020-03-21,13,125,0,645,11419,3
2020-03-22,9,192,2,654,11611,5
2020-03-23,15,688,5,669,12299,10
2020-03-24,71,603,0,740,12902,10
2020-03-25,27,681,0,767,13583,10
2020-03-26,56,768,0,823,14351,10
2020-03-27,51,803,3,874,15154,13
2020-03-28,69,260,3,943,15414,16
2020-03-29,40,259,0,983,15673,16
2020-03-30,40,1234,4,1023,16907,20
2020-03-31,112,1006,4,1135,17913,24
2020-04-01,125,1199,18,1260,19112,42
2020-04-02,104,1368,2,1364,20480,44
2020-04-03,124,1389,10,1488,21869,54
2020-04-04,123,265,5,1611,22134,59
2020-04-05,44,278,5,1655,22412,64
2020-04-06,126,1722,7,1781,24134,71
2020-04-07,132,1638,6,1913,25772,77
2020-04-08,97,1485,0,2010,27257,77
2020-04-09,117,1441,5,2127,28698,82
2020-04-10,85,1313,9,2212,30011,91
2020-04-11,160,169,10,2372,30180,101
2020-04-12,32,257,8,2404,30437,109
2020-04-13,44,1804,1,2448,32241,110
2020-04-14,122,1316,6,2570,33557,116
2020-04-15,113,1357,3,2683,34914,119
2020-04-16,157,1396,4,2840,36310,123
2020-04-17,85,1350,8,2925,37660,131
2020-04-18,91,251,4,3016,37911,135
2020-04-19,53,245,4,3069,38156,139
2020-04-20,67,1739,4,3136,39895,143
2020-04-21,119,1375,3,3255,41270,146
2020-04-22,88,1261,5,3343,42531,151
2020-04-23,108,1032,2,3451,43563,153
2020-04-24,78,1219,4,3529,44782,157
2020-04-25,115,278,3,3644,45060,160
2020-04-26,46,264,1,3690,45324,161
2020-04-27,32,1205,0,3722,46529,161
2020-04-28,83,872,1,3805,47401,162
2020-04-29,107,294,1,3912,47695,163
2020-04-30,59,1092,0,3971,48787,163
2020-05-01,92,850,2,4063,49637,165
2020-05-02,84,287,0,4147,49924,165
2020-05-03,56,237,0,4203,50161,165
2020-05-04,39,298,2,4242,50459,167
2020-05-05,38,256,1,4280,50715,168
2020-05-06,44,307,0,4324,51022,168
2020-05-07,38,958,0,4362,51980,168
2020-05-08,50,662,0,4412,52642,168
2020-05-09,68,267,0,4480,52909,168
2020-05-10,28,251,0,4508,53160,168
2020-05-11,34,841,0,4542,54001,168
2020-05-12,74,594,0,4616,54595,168
2020-05-13,80,518,0,4696,55113,168
2020-05-14,61,519,0,4757,55632,168
2020-05-15,68,489,0,4825,56121,168
2020-05-16,64,165,0,4889,56286,168
2020-05-17,26,183,0,4915,56469,168
2020-05-18,9,509,0,4924,56978,168
2020-05-19,44,354,0,4968,57332,168
2020-05-20,46,337,0,5014,57669,168
2020-05-21,46,284,0,5060,57953,168
2020-05-22,33,0,0,5093,57953,168
