date,source,target,value
2020-02-06,"PCR検査陽性
100.00%","無症状
0%",0
2020-02-06,"PCR検査陽性
100.00%","有症状
100%",16
2020-02-06,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-06,"有症状
100%","退院
25%",4
2020-02-06,"有症状
100%","入院治療必要
56.25%",9
2020-02-06,"有症状
100%","死亡者
0%",0
2020-02-06,"有症状
100%","入院待機中
%",0
2020-02-06,"入院治療必要
56.25%","軽〜中等症の者
0%",0
2020-02-06,"入院治療必要
56.25%","人工呼吸又は
ICUに入院
0%",0
2020-02-06,"入院治療必要
56.25%","確認中
18.75%",3
2020-02-07,"PCR検査陽性
100.00%","無症状
0%",0
2020-02-07,"PCR検査陽性
100.00%","有症状
100%",16
2020-02-07,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-07,"有症状
100%","退院
25%",4
2020-02-07,"有症状
100%","入院治療必要
75%",12
2020-02-07,"有症状
100%","死亡者
0%",0
2020-02-07,"有症状
100%","入院待機中
%",0
2020-02-07,"入院治療必要
75%","軽〜中等症の者
0%",0
2020-02-07,"入院治療必要
75%","人工呼吸又は
ICUに入院
0%",0
2020-02-07,"入院治療必要
75%","確認中
0%",0
2020-02-08,"PCR検査陽性
100.00%","無症状
0%",0
2020-02-08,"PCR検査陽性
100.00%","有症状
100%",16
2020-02-08,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-08,"有症状
100%","退院
25%",4
2020-02-08,"有症状
100%","入院治療必要
75%",12
2020-02-08,"有症状
100%","死亡者
0%",0
2020-02-08,"有症状
100%","入院待機中
%",0
2020-02-08,"入院治療必要
75%","軽〜中等症の者
0%",0
2020-02-08,"入院治療必要
75%","人工呼吸又は
ICUに入院
0%",0
2020-02-08,"入院治療必要
75%","確認中
0%",0
2020-02-09,"PCR検査陽性
100.00%","無症状
0%",0
2020-02-09,"PCR検査陽性
100.00%","有症状
100%",16
2020-02-09,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-09,"有症状
100%","退院
25%",4
2020-02-09,"有症状
100%","入院治療必要
75%",12
2020-02-09,"有症状
100%","死亡者
0%",0
2020-02-09,"有症状
100%","入院待機中
%",0
2020-02-09,"入院治療必要
75%","軽〜中等症の者
0%",0
2020-02-09,"入院治療必要
75%","人工呼吸又は
ICUに入院
0%",0
2020-02-09,"入院治療必要
75%","確認中
0%",0
2020-02-10,"PCR検査陽性
100.00%","無症状
0%",0
2020-02-10,"PCR検査陽性
100.00%","有症状
100%",16
2020-02-10,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-10,"有症状
100%","退院
56.25%",9
2020-02-10,"有症状
100%","入院治療必要
43.75%",7
2020-02-10,"有症状
100%","死亡者
0%",0
2020-02-10,"有症状
100%","入院待機中
%",0
2020-02-10,"入院治療必要
43.75%","軽〜中等症の者
43.75%",7
2020-02-10,"入院治療必要
43.75%","人工呼吸又は
ICUに入院
0%",0
2020-02-10,"入院治療必要
43.75%","確認中
0%",0
2020-02-11,"PCR検査陽性
100.00%","無症状
0%",0
2020-02-11,"PCR検査陽性
100.00%","有症状
100%",16
2020-02-11,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-11,"有症状
100%","退院
56.25%",9
2020-02-11,"有症状
100%","入院治療必要
43.75%",7
2020-02-11,"有症状
100%","死亡者
0%",0
2020-02-11,"有症状
100%","入院待機中
%",0
2020-02-11,"入院治療必要
43.75%","軽〜中等症の者
43.75%",7
2020-02-11,"入院治療必要
43.75%","人工呼吸又は
ICUに入院
0%",0
2020-02-11,"入院治療必要
43.75%","確認中
0%",0
2020-02-12,"PCR検査陽性
100.00%","無症状
0%",0
2020-02-12,"PCR検査陽性
100.00%","有症状
100%",16
2020-02-12,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-12,"有症状
100%","退院
62.5%",10
2020-02-12,"有症状
100%","入院治療必要
37.5%",6
2020-02-12,"有症状
100%","死亡者
0%",0
2020-02-12,"有症状
100%","入院待機中
%",0
2020-02-12,"入院治療必要
37.5%","軽〜中等症の者
37.5%",6
2020-02-12,"入院治療必要
37.5%","人工呼吸又は
ICUに入院
0%",0
2020-02-12,"入院治療必要
37.5%","確認中
0%",0
2020-02-13,"PCR検査陽性
100.00%","無症状
0%",0
2020-02-13,"PCR検査陽性
100.00%","有症状
100%",17
2020-02-13,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-13,"有症状
100%","退院
64.71%",11
2020-02-13,"有症状
100%","入院治療必要
35.29%",6
2020-02-13,"有症状
100%","死亡者
0%",0
2020-02-13,"有症状
100%","入院待機中
%",0
2020-02-13,"入院治療必要
35.29%","軽〜中等症の者
35.29%",6
2020-02-13,"入院治療必要
35.29%","人工呼吸又は
ICUに入院
0%",0
2020-02-13,"入院治療必要
35.29%","確認中
0%",0
2020-02-14,"PCR検査陽性
100.00%","無症状
0%",0
2020-02-14,"PCR検査陽性
100.00%","有症状
100%",21
2020-02-14,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-14,"有症状
100%","退院
52.38%",11
2020-02-14,"有症状
100%","入院治療必要
42.86%",9
2020-02-14,"有症状
100%","死亡者
4.76%",1
2020-02-14,"有症状
100%","入院待機中
%",0
2020-02-14,"入院治療必要
42.86%","軽〜中等症の者
42.86%",9
2020-02-14,"入院治療必要
42.86%","人工呼吸又は
ICUに入院
0%",0
2020-02-14,"入院治療必要
42.86%","確認中
0%",0
2020-02-15,"PCR検査陽性
100.00%","無症状
0%",0
2020-02-15,"PCR検査陽性
100.00%","有症状
100%",21
2020-02-15,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-15,"有症状
100%","退院
52.38%",11
2020-02-15,"有症状
100%","入院治療必要
42.86%",9
2020-02-15,"有症状
100%","死亡者
4.76%",1
2020-02-15,"有症状
100%","入院待機中
%",0
2020-02-15,"入院治療必要
42.86%","軽〜中等症の者
42.86%",9
2020-02-15,"入院治療必要
42.86%","人工呼吸又は
ICUに入院
0%",0
2020-02-15,"入院治療必要
42.86%","確認中
0%",0
2020-02-16,"PCR検査陽性
100.00%","無症状
0%",0
2020-02-16,"PCR検査陽性
100.00%","有症状
100%",21
2020-02-16,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-16,"有症状
100%","退院
52.38%",11
2020-02-16,"有症状
100%","入院治療必要
42.86%",9
2020-02-16,"有症状
100%","死亡者
4.76%",1
2020-02-16,"有症状
100%","入院待機中
%",0
2020-02-16,"入院治療必要
42.86%","軽〜中等症の者
42.86%",9
2020-02-16,"入院治療必要
42.86%","人工呼吸又は
ICUに入院
0%",0
2020-02-16,"入院治療必要
42.86%","確認中
0%",0
2020-02-17,"PCR検査陽性
100.00%","無症状
17.39%",8
2020-02-17,"PCR検査陽性
100.00%","有症状
82.61%",38
2020-02-17,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-17,"有症状
82.61%","退院
28.26%",13
2020-02-17,"有症状
82.61%","入院治療必要
69.57%",32
2020-02-17,"有症状
82.61%","死亡者
2.17%",1
2020-02-17,"有症状
82.61%","入院待機中
%",0
2020-02-17,"入院治療必要
69.57%","軽〜中等症の者
54.35%",25
2020-02-17,"入院治療必要
69.57%","人工呼吸又は
ICUに入院
6.52%",3
2020-02-17,"入院治療必要
69.57%","確認中
8.7%",4
2020-02-18,"PCR検査陽性
100.00%","無症状
16.98%",9
2020-02-18,"PCR検査陽性
100.00%","有症状
83.02%",44
2020-02-18,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-18,"有症状
83.02%","退院
22.64%",12
2020-02-18,"有症状
83.02%","入院治療必要
75.47%",40
2020-02-18,"有症状
83.02%","死亡者
1.89%",1
2020-02-18,"有症状
83.02%","入院待機中
%",0
2020-02-18,"入院治療必要
75.47%","軽〜中等症の者
64.15%",34
2020-02-18,"入院治療必要
75.47%","人工呼吸又は
ICUに入院
5.66%",3
2020-02-18,"入院治療必要
75.47%","確認中
5.66%",3
2020-02-19,"PCR検査陽性
100.00%","無症状
16.67%",10
2020-02-19,"PCR検査陽性
100.00%","有症状
83.33%",50
2020-02-19,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-19,"有症状
83.33%","退院
23.33%",14
2020-02-19,"有症状
83.33%","入院治療必要
75%",45
2020-02-19,"有症状
83.33%","死亡者
1.67%",1
2020-02-19,"有症状
83.33%","入院待機中
%",0
2020-02-19,"入院治療必要
75%","軽〜中等症の者
58.33%",35
2020-02-19,"入院治療必要
75%","人工呼吸又は
ICUに入院
10%",6
2020-02-19,"入院治療必要
75%","確認中
6.67%",4
