日付,都道府県名,患者数,入院中,退院者,死亡者
20200319,北海道,153,77,69,7
20200319,愛知県,123,106,3,14
20200319,東京都,105,80,23,2
20200319,大阪府,100,78,22,0
20200319,兵庫県,69,66,0,3
20200319,神奈川県,52,42,6,4
20200319,埼玉県,32,28,4,0
20200319,千葉県,31,22,9,0
20200319,京都府,17,11,6,0
20200319,新潟県,17,16,1,0
20200319,和歌山県,13,4,8,1
20200319,高知県,11,5,6,0
20200319,群馬県,10,10,0,0
20200319,熊本県,5,5,0,0
20200319,石川県,5,4,1,0
20200319,三重県,5,4,1,0
20200319,福岡県,4,3,1,0
20200319,奈良県,4,2,2,0
20200319,滋賀県,4,4,0,0
20200319,岐阜県,3,2,1,0
20200319,栃木県,3,1,2,0
20200319,沖縄県,3,1,2,0
20200319,長野県,3,3,0,0
20200319,静岡県,3,2,1,0
20200319,宮崎県,3,3,0,0
20200319,愛媛県,2,1,1,0
20200319,茨城県,2,2,0,0
20200319,山梨県,2,2,0,0
20200319,福島県,2,2,0,0
20200319,福井県,1,1,0,0
20200319,秋田県,1,0,1,0
20200319,宮城県,1,0,1,0
20200319,大分県,1,0,1,0
20200319,山口県,1,1,0,0
20200319,広島県,1,0,1,0
20200319,香川県,1,1,0,0
20200319,佐賀県,1,1,0,0
20200320,北海道,156,80,69,7
20200320,愛知県,127,110,3,14
20200320,東京都,112,86,24,2
20200320,大阪府,102,79,22,1
20200320,兵庫県,69,64,1,4
20200320,神奈川県,57,47,6,4
20200320,埼玉県,36,32,4,0
20200320,千葉県,34,25,9,0
20200320,京都府,17,11,6,0
20200320,新潟県,17,16,1,0
20200320,和歌山県,14,5,8,1
20200320,高知県,11,0,11,0
20200320,群馬県,10,10,0,0
20200320,熊本県,6,6,0,0
20200320,三重県,6,5,1,0
20200320,石川県,5,3,2,0
20200320,福岡県,5,3,2,0
20200320,奈良県,4,2,2,0
20200320,滋賀県,4,4,0,0
20200320,沖縄県,3,1,2,0
20200320,長野県,3,3,0,0
20200320,岐阜県,3,2,1,0
20200320,栃木県,3,1,2,0
20200320,静岡県,3,2,1,0
20200320,大分県,3,2,1,0
20200320,宮崎県,3,3,0,0
20200320,茨城県,3,3,0,0
20200320,山梨県,2,2,0,0
20200320,愛媛県,2,1,1,0
20200320,福島県,2,2,0,0
20200320,秋田県,1,0,1,0
20200320,宮城県,1,0,1,0
20200320,山口県,1,1,0,0
20200320,広島県,1,0,1,0
20200320,福井県,1,1,0,0
20200320,香川県,1,1,0,0
20200320,佐賀県,1,1,0,0
20200321,北海道,157,82,69,6
20200321,愛知県,130,111,3,16
20200321,東京都,123,96,24,3
20200321,大阪府,106,83,22,1
20200321,兵庫県,76,71,1,4
20200321,神奈川県,58,48,6,4
20200321,千葉県,39,27,12,0
20200321,埼玉県,38,32,6,0
20200321,京都府,18,12,6,0
20200321,新潟県,17,16,1,0
20200321,和歌山県,15,6,8,1
20200321,群馬県,11,11,0,0
20200321,高知県,11,0,11,0
20200321,大分県,6,5,1,0
20200321,石川県,6,4,2,0
20200321,熊本県,6,6,0,0
20200321,三重県,6,5,1,0
20200321,福岡県,5,3,2,0
20200321,奈良県,4,2,2,0
20200321,滋賀県,4,4,0,0
20200321,沖縄県,3,1,2,0
20200321,長野県,3,2,1,0
20200321,岐阜県,3,2,1,0
20200321,栃木県,3,2,1,0
20200321,静岡県,3,2,1,0
20200321,宮崎県,3,3,0,0
20200321,茨城県,3,3,0,0
20200321,広島県,2,1,1,0
20200321,山梨県,2,2,0,0
20200321,愛媛県,2,1,1,0
