日付,合計,専用ダイヤル累計,相談対応件数,相談対応件数累計,女性,男性,非公表,陽性数,累積陽性数
2020-01-16,0,0,0,0,0,1,0,1,1
2020-01-25,11,11,0,0,0,0,0,0,1
2020-01-26,12,23,0,0,0,0,0,0,1
2020-01-27,38,61,0,0,0,0,0,0,1
2020-01-28,37,98,0,0,0,0,0,0,1
2020-01-29,73,171,0,0,0,0,0,0,1
2020-01-30,103,274,0,0,0,0,0,0,1
2020-01-31,124,398,0,0,0,0,0,0,1
2020-02-01,65,463,0,0,0,0,0,0,1
2020-02-02,58,521,0,0,0,0,0,0,1
2020-02-03,114,635,0,0,0,0,0,0,1
2020-02-04,84,719,0,0,0,0,0,0,1
2020-02-05,88,807,0,0,0,0,0,0,1
2020-02-06,79,886,0,0,0,0,0,0,1
2020-02-07,81,967,0,0,0,0,0,0,1
2020-02-08,45,1012,0,0,0,0,0,0,1
2020-02-09,29,1041,0,0,0,0,0,0,1
2020-02-10,87,1128,50,50,0,0,0,0,1
2020-02-11,48,1176,15,65,0,1,0,1,2
2020-02-12,66,1242,64,129,0,0,0,0,2
2020-02-13,48,1290,60,189,1,0,0,1,3
2020-02-14,278,1568,155,344,0,1,0,1,4
2020-02-15,244,1812,139,483,0,0,0,0,4
2020-02-16,230,2042,87,570,0,0,0,0,4
2020-02-17,349,2391,457,1027,1,0,0,1,5
2020-02-18,274,2665,551,1578,0,1,0,1,6
2020-02-19,294,2959,581,2159,0,2,0,2,8
2020-02-20,252,3211,524,2683,0,1,1,2,10
2020-02-21,297,3508,564,3247,1,1,1,3,13
2020-02-22,259,3767,316,3563,3,1,0,4,17
2020-02-23,279,4046,293,3856,0,0,0,0,17
2020-02-24,371,4417,358,4214,0,1,0,1,18
2020-02-25,440,4857,1017,5231,0,0,0,0,18
2020-02-26,336,5193,871,6102,0,1,0,1,19
2020-02-27,387,5580,878,6980,1,2,0,3,22
2020-02-28,346,5926,860,7840,1,1,0,2,24
2020-02-29,326,6252,369,8209,0,0,0,0,24
2020-03-01,344,6596,405,8614,2,1,0,3,27
2020-03-02,376,6972,1274,9888,1,3,0,4,31
2020-03-03,362,7334,924,10812,1,0,0,1,32
2020-03-04,262,7596,985,11797,0,0,0,0,32
2020-03-05,296,7892,845,12642,1,2,0,3,35
2020-03-06,308,8200,830,13472,1,5,0,6,41
2020-03-07,271,8471,450,13922,0,1,0,1,42
2020-03-08,270,8741,377,14299,0,0,0,0,42
2020-03-09,457,9198,1218,15517,0,0,0,0,42
2020-03-10,335,9533,904,16421,1,1,0,2,44
2020-03-11,266,9799,830,17251,2,1,0,3,47
2020-03-12,284,10083,790,18041,1,2,0,3,50
2020-03-13,283,10366,851,18892,0,1,0,1,51
2020-03-14,217,10583,339,19231,0,0,0,0,51
2020-03-15,218,10801,318,19549,3,3,0,6,57
2020-03-16,284,11085,1085,20634,0,0,0,0,57
2020-03-17,268,11353,766,21400,3,1,0,4,61
2020-03-18,281,11634,748,22148,0,1,0,1,62
2020-03-19,259,11893,774,22922,1,5,0,6,68
2020-03-20,209,12102,282,23204,1,1,0,2,70
2020-03-21,219,12321,407,23611,1,3,0,4,74
2020-03-22,195,12516,275,23886,2,3,0,5,79
2020-03-23,285,12801,932,24818,0,0,0,0,79
2020-03-24,255,13056,650,25468,3,3,0,6,85
2020-03-25,319,13375,772,26240,1,3,0,4,89
2020-03-26,470,13845,928,27168,1,5,0,6,95
2020-03-27,366,14211,1187,28355,4,7,0,11,106
2020-03-28,458,14669,626,28981,3,9,0,12,118
2020-03-29,397,15066,507,29488,4,5,0,9,127
2020-03-30,479,15545,1712,31200,1,2,0,3,130
2020-03-31,422,15967,1392,32592,9,5,0,14,144
2020-04-01,305,16272,1508,34100,8,11,0,19,163
2020-04-02,306,16578,1766,35866,9,16,0,25,188
2020-04-03,361,16939,1789,37655,14,17,0,31,219
2020-04-04,383,17322,1037,38692,5,15,0,20,239
2020-04-05,439,17761,802,39494,12,15,0,27,266
2020-04-06,447,18208,2185,41679,0,6,0,6,272
2020-04-07,0,0,0,0,2,5,0,7,279
