公表_年月日,無症状,軽症,中等症,重症,非公表,重複削除,日計
2020-01-28,0,0,0,0,1,0,1
2020-02-14,0,0,0,0,1,0,1
2020-02-19,0,0,0,0,3,0,3
2020-02-21,0,0,0,0,3,0,3
2020-02-22,0,0,0,0,10,0,10
2020-02-23,0,0,0,0,8,0,8
2020-02-24,0,0,0,0,4,0,4
2020-02-25,0,0,0,0,5,0,5
2020-02-26,0,0,0,0,4,0,4
2020-02-27,0,2,0,0,13,0,15
2020-02-28,0,2,0,0,10,0,12
2020-02-29,0,2,0,0,2,0,4
2020-03-01,0,0,0,0,2,0,2
2020-03-02,0,1,0,0,4,0,5
2020-03-03,0,2,0,0,0,0,2
2020-03-04,0,0,0,0,3,0,3
2020-03-05,0,0,1,0,0,0,1
2020-03-06,0,2,1,0,4,0,7
2020-03-07,0,5,0,1,2,0,8
2020-03-08,0,0,0,0,3,0,3
2020-03-09,0,5,0,0,2,0,7
2020-03-10,0,0,0,0,3,0,3
2020-03-11,0,0,0,0,7,0,7
2020-03-12,0,9,0,0,1,0,10
2020-03-13,0,11,0,0,3,0,14
2020-03-14,0,1,0,1,0,0,2
2020-03-15,0,3,0,1,0,0,4
2020-03-16,0,2,0,1,1,0,4
2020-03-18,0,2,0,0,0,0,2
2020-03-19,0,2,0,0,1,0,3
2020-03-20,0,1,0,0,0,0,1
2020-03-21,0,1,0,0,0,0,1
2020-03-22,0,3,0,0,0,0,3
2020-03-24,0,1,0,0,0,0,1
2020-03-25,0,4,0,0,0,0,4
2020-03-26,0,0,0,0,1,0,1
2020-03-27,0,0,1,0,0,0,1
2020-03-28,0,3,0,0,0,0,3
2020-03-29,0,4,0,0,0,0,4
2020-03-30,0,1,0,0,0,0,1
2020-04-01,1,4,0,0,0,0,5
2020-04-02,0,3,0,0,0,0,3
2020-04-03,0,5,0,0,0,0,5
2020-04-04,0,3,0,0,0,0,3
2020-04-05,0,1,0,0,0,0,1
2020-04-07,0,4,0,0,0,0,4
2020-04-08,0,7,1,1,1,0,10
