date,call,fax,mail,line
20200128,99,,,3
20200129,250,,,3
20200130,306,,,3
20200131,512,,,7
20200201,840,,,12
20200202,716,,,17
20200203,1129,,,47
20200204,982,,,72
20200205,929,,,72
20200206,829,,,72
20200207,1331,,,85
20200208,673,,,85
20200209,625,,,85
20200210,958,,,100
20200211,624,,,100
20200212,1185,,,155
20200213,893,,,155
20200214,2142,0,,155
20200215,2732,0,,155
20200216,3415,0,,155
20200217,6368,1,,180
20200218,4427,3,,180
20200219,3596,4,0,180
20200220,3303,3,1,180
20200221,3756,4,2,180
20200222,3466,0,3,180
20200223,3264,0,4,180
20200224,4651,1,2,180
20200225,5608,1,3,180
20200226,5153,3,6,180
20200227,4890,3,8,180
20200228,4349,1,14,180
20200229,4140,4,10,180
20200301,3809,1,10,180
20200302,5230,4,10,180
20200303,4878,1,15,180
20200304,4284,1,5,180
20200305,4100,1,0,180
20200306,4300,1,6,180
20200307,3118,1,4,180
20200308,2857,2,5,180
20200309,4789,4,7,180
20200310,4000,2,5,180
20200311,3725,4,6,180
20200312,3607,1,2,180
20200313,3484,2,1,180
20200314,2522,1,2,180
20200315,2401,1,2,180
20200316,3366,1,3,180
20200317,2832,4,2,180
20200318,3395,1,2,180
20200319,3833,2,2,180
20200320,2731,0,5,180
20200321,2771,1,2,180
20200322,2499,0,4,180
20200323,3899,2,3,180
20200324,3909,0,3,180
20200325,3761,3,5,180
20200326,4342,0,5,180
20200327,5479,1,5,180
20200328,4937,1,7,180
20200329,4182,2,9,180
20200330,6973,1,8,180
20200331,7435,1,4,180
20200401,6230,0,11,180
20200402,4803,0,14,180
20200403,5053,0,7,180
20200404,5083,0,8,180
20200405,5461,0,11,180
20200406,5377,0,23,180
20200407,4897,0,5,180
20200408,4655,0,17,180
20200409,4798,0,16,180
20200410,6149,0,5,180
20200411,5354,0,8,180
20200412,5410,0,8,180
20200413,7226,0,10,180
20200414,6313,4,5,180
20200415,5428,1,7,180
20200416,5828,0,3,180
20200417,5719,2,5,180
20200418,5246,1,6,180
20200419,4807,0,5,180
20200420,6127,5,5,180
20200421,5206,3,7,180
20200422,4750,2,7,180
20200423,5203,1,7,180
20200424,5174,3,4,180
20200425,4659,1,5,180
20200426,4189,1,6,180
20200427,4852,3,6,180
20200428,4000,1,7,180
20200429,3551,0,3,180
20200430,3891,0,2,180
20200501,3572,2,4,180
20200502,3393,2,3,180
20200503,3053,2,4,180
20200504,4186,2,1,180
20200505,3489,0,6,180
20200506,3714,0,3,180
20200507,3626,1,2,180
20200508,3066,2,0,180
20200509,3031,0,1,180
20200510,2945,0,1,180
20200511,3368,1,3,180
20200512,2853,1,0,180
20200513,2939,1,3,180
20200514,2783,3,4,180
20200515,2859,2,0,180
20200516,2269,0,2,180
20200517,2650,1,4,180
20200518,2388,2,1,180
20200519,2628,1,2,180
20200520,2542,2,1,180
20200521,2422,2,1,180
20200522,2299,3,0,180
20200523,1939,4,0,180
20200524,1746,3,0,180
20200525,2369,1,1,180
20200526,2261,1,0,180
20200527,2413,1,0,180
20200528,2567,3,0,180
20200529,2443,1,3,180
20200530,1764,0,1,180
20200531,1833,2,4,180
20200601,2324,0,1,180
20200602,2374,1,1,180
20200603,2369,0,1,180
20200604,2216,0,0,180
20200605,1823,0,0,180
20200606,1672,0,2,180
20200607,1610,0,1,180
20200608,1792,0,2,180
20200609,1602,1,0,180
20200610,1491,0,0,180
20200611,1509,0,1,180
