日付,都道府県名,陽性者,検査人数,入院中,重症者,退院者,死亡者,確認中,分類
20200205,クルーズ船,10,31,,,,0,,3
20200206,チャーター便,9,566,9,0,0,0,2,2
20200206,クルーズ船,,,,,,0,,3
20200207,チャーター便,9,566,9,0,0,0,2,2
20200207,クルーズ船,61,273,,,,0,,3
20200208,チャーター便,,,3,0,0,0,,2
20200208,クルーズ船,64,279,,,,0,,3
20200209,チャーター便,,,3,0,0,0,,2
20200209,クルーズ船,70,336,,,,0,,3
20200210,チャーター便,10,764,10,0,0,0,3,2
20200210,クルーズ船,135,439,,,,0,,3
20200211,チャーター便,,764,3,0,0,0,,2
20200211,クルーズ船,,,,,,0,,3
20200212,チャーター便,12,764,12,0,0,0,1,2
20200212,クルーズ船,,,,,,0,,3
20200213,チャーター便,12,764,12,0,0,0,0,2
20200213,クルーズ船,218,713,,,,0,,3
20200214,チャーター便,12,764,11,0,1,0,0,2
20200214,クルーズ船,,,,,,0,,3
20200215,チャーター便,,764,,0,,0,0,2
20200215,クルーズ船,285,930,,,,0,,3
20200216,チャーター便,,764,,0,,0,0,2
20200216,クルーズ船,355,1219,,,,0,,3
20200217,チャーター便,13,764,8,0,5,0,0,2
20200217,クルーズ船,454,1723,,,,0,,3
20200218,チャーター便,13,764,7,0,6,0,0,2
20200218,クルーズ船,542,2404,,,,0,,3
20200219,チャーター便,13,764,7,0,6,0,0,2
20200219,クルーズ船,621,3011,,,,0,,3
20200220,チャーター便,14,829,8,0,6,0,0,2
20200220,クルーズ船,634,3063,,,,2,,3
20200221,チャーター便,14,829,7,0,7,0,0,2
20200221,クルーズ船,634,3063,,,,2,,3
20200222,チャーター便,15,829,8,0,7,0,1,2
20200222,クルーズ船,,,,,,2,,3
20200223,チャーター便,15,829,8,0,7,0,1,2
20200223,クルーズ船,691,3894,,,,3,,3
20200224,チャーター便,15,829,6,0,9,0,1,2
20200224,クルーズ船,691,3894,,,,3,,3
20200225,チャーター便,15,829,6,0,9,0,1,2
20200225,クルーズ船,691,3894,,,,4,,3
20200226,チャーター便,15,829,6,0,9,0,1,2
20200226,クルーズ船,691,3894,,,,4,,3
20200227,チャーター便,15,829,5,0,10,0,1,2
20200227,クルーズ船,705,4061,,,,4,,3
20200228,チャーター便,15,829,4,0,11,0,0,2
20200228,クルーズ船,705,4061,,,,6,,3
20200229,チャーター便,15,829,4,0,11,0,0,2
20200229,クルーズ船,705,4061,,,,6,,3
20200301,チャーター便,15,829,4,0,11,0,0,2
